trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
83,False,"{'a': 0.5, 'e': 0.9865821144408262}",25,0,-118.71513371851151,"{0: 14, 1: 1, 2: 9, 3: 0, 4: 1}",0
84,False,"{'a': 0.5, 'e': 0.986253609833596}",25,0,-52.1722976052603,"{0: 18, 1: 2, 2: 4, 3: 1, 4: 0}",0
85,False,"{'a': 0.5, 'e': 0.9859211602132415}",25,0,-76.54587826597205,"{0: 17, 1: 3, 2: 2, 3: 3, 4: 0}",0
86,False,"{'a': 0.5, 'e': 0.9855847669095608}",20,0,-82.30603990893005,"{0: 13, 1: 3, 2: 2, 3: 1, 4: 1}",0
87,False,"{'a': 0.5, 'e': 0.9852444312681263}",20,0,-107.12235469928262,"{0: 11, 1: 2, 2: 5, 3: 1, 4: 1}",0
88,False,"{'a': 0.5, 'e': 0.9849001546502806}",20,0,-69.9683540637383,"{0: 12, 1: 5, 2: 2, 3: 0, 4: 1}",0
89,False,"{'a': 0.5, 'e': 0.9845519384331295}",30,0,-185.10288119566061,"{0: 21, 1: 2, 2: 3, 3: 0, 4: 4}",0
90,False,"{'a': 0.5, 'e': 0.9841997840095373}",20,0,-140.83614211217366,"{0: 10, 1: 2, 2: 4, 3: 3, 4: 1}",0
91,False,"{'a': 0.5, 'e': 0.9838436927881214}",20,0,-106.30720695332751,"{0: 10, 1: 2, 2: 7, 3: 0, 4: 1}",0
92,False,"{'a': 0.5, 'e': 0.9834836661932461}",20,0,7.586606799189661,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
93,False,"{'a': 0.5, 'e': 0.9831197056650174}",20,9,-15.91140368407111,"{0: 8, 1: 0, 2: 3, 3: 0, 4: 0}",1
94,False,"{'a': 0.5, 'e': 0.9827518126592768}",20,0,-58.11082071502157,"{0: 15, 1: 2, 2: 1, 3: 1, 4: 1}",0
95,False,"{'a': 0.5, 'e': 0.9823799886475959}",20,0,-142.92719644743548,"{0: 10, 1: 2, 2: 5, 3: 1, 4: 2}",0
96,False,"{'a': 0.5, 'e': 0.9820042351172703}",20,0,-161.9304945875693,"{0: 12, 1: 1, 2: 3, 3: 1, 4: 3}",0
97,False,"{'a': 0.5, 'e': 0.9816245535713135}",20,0,-71.46152299468535,"{0: 12, 1: 3, 2: 3, 3: 2, 4: 0}",0
98,False,"{'a': 0.5, 'e': 0.9812409455284513}",20,12,-37.59178697459351,"{0: 6, 1: 1, 2: 0, 3: 0, 4: 1}",1
99,False,"{'a': 0.5, 'e': 0.9808534125231153}",25,0,-106.23619728240924,"{0: 11, 1: 4, 2: 10, 3: 0, 4: 0}",0
100,False,"{'a': 0.5, 'e': 0.9804619561054371}",20,0,-105.53712108835414,"{0: 12, 1: 2, 2: 3, 3: 2, 4: 1}",0
101,False,"{'a': 0.5, 'e': 0.9800665778412416}",25,0,-140.63561784827368,"{0: 14, 1: 4, 2: 4, 3: 1, 4: 2}",0
102,False,"{'a': 0.5, 'e': 0.9796672793120416}",25,0,-182.84327979561814,"{0: 14, 1: 3, 2: 4, 3: 1, 4: 3}",0
103,False,"{'a': 0.5, 'e': 0.9792640621150305}",20,0,-186.8629809167374,"{0: 9, 1: 1, 2: 7, 3: 0, 4: 3}",0
104,False,"{'a': 0.5, 'e': 0.9788569278630767}",20,0,-175.27450280842436,"{0: 11, 1: 0, 2: 4, 3: 3, 4: 2}",0
105,False,"{'a': 0.5, 'e': 0.9784458781847165}",20,0,-147.95878022586777,"{0: 13, 1: 0, 2: 2, 3: 3, 4: 2}",0
106,False,"{'a': 0.5, 'e': 0.9780309147241483}",25,2,-82.64400468085923,"{0: 13, 1: 3, 2: 5, 3: 2, 4: 0}",1
107,False,"{'a': 0.5, 'e': 0.9776120391412251}",30,10,-130.1049847013841,"{0: 12, 1: 0, 2: 5, 3: 1, 4: 2}",1
108,False,"{'a': 0.5, 'e': 0.9771892531114489}",25,0,-156.2777824107938,"{0: 14, 1: 5, 2: 3, 3: 0, 4: 3}",0
109,False,"{'a': 0.5, 'e': 0.9767625583259631}",20,0,-104.9939694142353,"{0: 14, 1: 1, 2: 3, 3: 0, 4: 2}",0
110,False,"{'a': 0.5, 'e': 0.9763319564915464}",20,0,-107.26010729885566,"{0: 11, 1: 2, 2: 5, 3: 1, 4: 1}",0
111,False,"{'a': 0.5, 'e': 0.9758974493306055}",20,0,-134.88907355387923,"{0: 11, 1: 2, 2: 4, 3: 1, 4: 2}",0
112,False,"{'a': 0.5, 'e': 0.9754590385811684}",20,9,-37.88829346924637,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 1}",1
113,False,"{'a': 0.5, 'e': 0.9750167259968777}",25,0,-128.86942993820236,"{0: 14, 1: 2, 2: 6, 3: 2, 4: 1}",1
114,False,"{'a': 0.5, 'e': 0.974570513346983}",25,4,-101.8851367645825,"{0: 16, 1: 1, 2: 0, 3: 2, 4: 2}",1
115,False,"{'a': 0.5, 'e': 0.9741204024163344}",25,0,-104.83068948367917,"{0: 16, 1: 5, 2: 2, 3: 0, 4: 2}",0
116,False,"{'a': 0.5, 'e': 0.9736663950053749}",20,0,-34.96520987469265,"{0: 15, 1: 0, 2: 5, 3: 0, 4: 0}",0
117,False,"{'a': 0.5, 'e': 0.9732084929301336}",20,0,-56.539868443572615,"{0: 11, 1: 7, 2: 1, 3: 1, 4: 0}",0
118,False,"{'a': 0.5, 'e': 0.9727466980222181}",25,0,-36.05711696396962,"{0: 19, 1: 2, 2: 3, 3: 1, 4: 0}",0
119,False,"{'a': 0.5, 'e': 0.9722810121288076}",25,0,-168.00876827329515,"{0: 14, 1: 4, 2: 4, 3: 0, 4: 3}",0
120,False,"{'a': 0.5, 'e': 0.971811437112645}",25,0,-169.51863181864925,"{0: 14, 1: 2, 2: 5, 3: 2, 4: 2}",0
121,False,"{'a': 0.5, 'e': 0.9713379748520297}",20,0,-136.17862581893937,"{0: 9, 1: 1, 2: 8, 3: 1, 4: 1}",0
122,False,"{'a': 0.5, 'e': 0.97086062724081}",30,0,-141.23416361857338,"{0: 20, 1: 2, 2: 5, 3: 1, 4: 2}",0
123,False,"{'a': 0.5, 'e': 0.9703793961883759}",20,0,-39.38586740455608,"{0: 14, 1: 3, 2: 2, 3: 1, 4: 0}",0
124,False,"{'a': 0.5, 'e': 0.9698942836196508}",35,0,-127.32873979097079,"{0: 25, 1: 2, 2: 6, 3: 0, 4: 2}",0
125,False,"{'a': 0.5, 'e': 0.9694052914750845}",25,0,-37.456804915034155,"{0: 18, 1: 3, 2: 4, 3: 0, 4: 0}",0
126,False,"{'a': 0.5, 'e': 0.9689124217106447}",25,0,-140.27626092411663,"{0: 15, 1: 3, 2: 4, 3: 1, 4: 2}",0
127,False,"{'a': 0.5, 'e': 0.9684156762978101}",30,0,-131.36383517421638,"{0: 18, 1: 1, 2: 9, 3: 1, 4: 1}",0
128,False,"{'a': 0.5, 'e': 0.9679150572235615}",30,0,-98.76452680508228,"{0: 19, 1: 2, 2: 7, 3: 2, 4: 0}",0
129,False,"{'a': 0.5, 'e': 0.9674105664903746}",25,0,-165.95688933407095,"{0: 15, 1: 1, 2: 4, 3: 3, 4: 2}",1
130,False,"{'a': 0.5, 'e': 0.9669022061162116}",20,6,-98.53918320437535,"{0: 8, 1: 2, 2: 2, 3: 0, 4: 2}",1
131,False,"{'a': 0.5, 'e': 0.9663899781345132}",20,0,-122.4048709866689,"{0: 12, 1: 3, 2: 2, 3: 1, 4: 2}",0
132,False,"{'a': 0.5, 'e': 0.9658738845941909}",20,0,-53.53158980445747,"{0: 11, 1: 4, 2: 5, 3: 0, 4: 0}",0
133,False,"{'a': 0.5, 'e': 0.965353927559618}",20,0,-64.8449241334434,"{0: 12, 1: 3, 2: 4, 3: 1, 4: 0}",0
134,False,"{'a': 0.5, 'e': 0.9648301091106221}",25,0,-149.9167759392417,"{0: 12, 1: 3, 2: 7, 3: 2, 4: 1}",0
135,False,"{'a': 0.5, 'e': 0.9643024313424761}",20,0,-207.8252131077927,"{0: 6, 1: 6, 2: 4, 3: 1, 4: 3}",0
136,False,"{'a': 0.5, 'e': 0.9637708963658905}",20,0,-24.728879827253447,"{0: 14, 1: 4, 2: 2, 3: 0, 4: 0}",0
137,False,"{'a': 0.5, 'e': 0.9632355063070045}",25,0,-96.41933038049362,"{0: 17, 1: 2, 2: 3, 3: 2, 4: 1}",0
138,False,"{'a': 0.5, 'e': 0.9626962633073776}",20,11,-23.923992892773263,"{0: 6, 1: 0, 2: 3, 3: 0, 4: 0}",1
139,False,"{'a': 0.5, 'e': 0.9621531695239809}",30,0,-126.10008839495451,"{0: 15, 1: 5, 2: 8, 3: 2, 4: 0}",0
140,False,"{'a': 0.5, 'e': 0.9616062271291891}",30,0,-136.99073527804356,"{0: 20, 1: 1, 2: 6, 3: 1, 4: 2}",0
141,False,"{'a': 0.5, 'e': 0.9610554383107709}",20,0,-68.2914176830002,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",0
142,False,"{'a': 0.5, 'e': 0.9605008052718809}",30,0,-245.0666631664057,"{0: 18, 1: 2, 2: 4, 3: 1, 4: 5}",0
